n_a,n_b,interval_a,interval_b,id_a,id_b
0,0,0,0,0,3
0,0,0,0,8,16
0,0,0,0,7,17
0,0,0,0,10,19
0,0,0,0,18,4
0,0,0,0,5,11
0,0,0,0,2,14
0,0,0,0,1,15
0,0,0,0,9,6
0,0,0,0,13,12
1,1,0,0,4,0
1,1,0,0,14,7
1,1,0,0,17,13
1,1,0,0,3,9
1,1,0,0,16,10
1,1,0,0,15,8
1,1,0,0,11,2
1,1,0,0,19,1
1,1,0,0,12,5
1,1,0,0,6,18
2,2,0,0,0,2
2,2,0,0,10,9
2,2,0,0,16,11
2,2,0,0,15,18
2,2,0,0,19,4
2,2,0,0,8,3
2,2,0,0,13,5
2,2,0,0,7,12
2,2,0,0,17,14
2,2,0,0,1,6
3,3,0,0,2,1
3,3,0,0,4,16
3,3,0,0,12,17
3,3,0,0,18,8
3,3,0,0,5,19
3,3,0,0,6,15
3,3,0,0,9,13
3,3,0,0,3,7
3,3,0,0,14,10
3,3,0,0,11,0
4,4,1,1,7,5
4,4,1,1,10,18
4,4,1,1,1,9
4,4,1,1,19,12
4,4,1,1,17,11
4,4,1,1,13,14
4,4,1,1,0,6
4,4,1,1,16,3
4,4,1,1,8,4
4,4,1,1,15,2
5,5,1,1,5,1
5,5,1,1,4,13
5,5,1,1,18,16
5,5,1,1,9,8
5,5,1,1,2,17
5,5,1,1,11,7
5,5,1,1,12,15
5,5,1,1,3,19
5,5,1,1,14,0
5,5,1,1,6,10
6,6,1,1,3,12
6,6,1,1,6,4
6,6,1,1,8,1
6,6,1,1,9,18
6,6,1,1,14,11
6,6,1,1,0,16
6,6,1,1,15,10
6,6,1,1,2,5
6,6,1,1,17,19
6,6,1,1,13,7
7,7,1,1,19,13
7,7,1,1,12,2
7,7,1,1,16,15
7,7,1,1,18,17
7,7,1,1,4,9
7,7,1,1,10,8
7,7,1,1,5,14
7,7,1,1,7,6
7,7,1,1,1,0
7,7,1,1,11,3
8,8,2,2,3,6
8,8,2,2,12,18
8,8,2,2,5,4
8,8,2,2,14,8
8,8,2,2,7,0
8,8,2,2,19,15
8,8,2,2,13,16
8,8,2,2,17,1
8,8,2,2,2,10
8,8,2,2,11,9
9,9,2,2,8,19
9,9,2,2,4,11
9,9,2,2,15,5
9,9,2,2,10,13
9,9,2,2,9,17
9,9,2,2,1,7
9,9,2,2,16,2
9,9,2,2,18,3
9,9,2,2,0,12
9,9,2,2,6,14
10,10,2,2,5,6
10,10,2,2,19,0
10,10,2,2,2,9
10,10,2,2,17,15
10,10,2,2,11,1
10,10,2,2,12,10
10,10,2,2,13,8
10,10,2,2,7,16
10,10,2,2,14,18
10,10,2,2,3,4
11,11,2,2,18,2
11,11,2,2,15,7
11,11,2,2,16,14
11,11,2,2,8,17
11,11,2,2,0,13
11,11,2,2,10,11
11,11,2,2,9,5
11,11,2,2,4,12
11,11,2,2,6,19
11,11,2,2,1,3
12,12,3,3,17,0
12,12,3,3,2,8
12,12,3,3,5,10
12,12,3,3,11,18
12,12,3,3,14,9
12,12,3,3,7,4
12,12,3,3,13,1
12,12,3,3,12,6
12,12,3,3,3,15
12,12,3,3,19,16
13,13,3,3,19,2
13,13,3,3,4,17
13,13,3,3,12,14
13,13,3,3,16,9
13,13,3,3,18,7
13,13,3,3,8,0
13,13,3,3,3,5
13,13,3,3,15,13
13,13,3,3,6,11
13,13,3,3,10,1
14,14,3,3,9,12
14,14,3,3,11,8
14,14,3,3,0,15
14,14,3,3,1,16
14,14,3,3,14,4
14,14,3,3,17,10
14,14,3,3,13,3
14,14,3,3,5,18
14,14,3,3,2,6
14,14,3,3,7,19
15,15,3,3,10,7
15,15,3,3,15,9
15,15,3,3,12,11
15,15,3,3,19,14
15,15,3,3,16,17
15,15,3,3,18,0
15,15,3,3,4,1
15,15,3,3,6,13
15,15,3,3,3,2
15,15,3,3,8,5
16,16,4,4,13,18
16,16,4,4,0,10
16,16,4,4,9,19
16,16,4,4,7,8
16,16,4,4,5,16
16,16,4,4,14,3
16,16,4,4,2,4
16,16,4,4,17,6
16,16,4,4,11,15
16,16,4,4,1,12
17,17,4,4,9,0
17,17,4,4,18,19
17,17,4,4,6,8
17,17,4,4,12,16
17,17,4,4,4,15
17,17,4,4,11,13
17,17,4,4,5,17
17,17,4,4,3,10
17,17,4,4,2,7
17,17,4,4,14,1
18,18,4,4,10,4
18,18,4,4,7,9
18,18,4,4,19,11
18,18,4,4,13,2
18,18,4,4,17,3
18,18,4,4,15,14
18,18,4,4,0,5
18,18,4,4,1,18
18,18,4,4,8,12
18,18,4,4,16,6
19,19,4,4,15,6
19,19,4,4,13,9
19,19,4,4,1,2
19,19,4,4,8,18
19,19,4,4,16,4
19,19,4,4,0,11
19,19,4,4,10,14
19,19,4,4,17,12
19,19,4,4,19,5
19,19,4,4,7,3
20,20,5,5,18,15
20,20,5,5,4,19
20,20,5,5,2,0
20,20,5,5,12,7
20,20,5,5,5,13
20,20,5,5,9,10
20,20,5,5,14,17
20,20,5,5,11,16
20,20,5,5,3,8
20,20,5,5,6,1
21,21,5,5,3,16
21,21,5,5,12,19
21,21,5,5,5,7
21,21,5,5,14,13
21,21,5,5,18,10
21,21,5,5,2,15
21,21,5,5,4,8
21,21,5,5,6,0
21,21,5,5,9,1
21,21,5,5,11,17
22,22,5,5,10,6
22,22,5,5,13,4
22,22,5,5,0,14
22,22,5,5,8,9
22,22,5,5,19,3
22,22,5,5,17,2
22,22,5,5,16,18
22,22,5,5,15,12
22,22,5,5,7,11
22,22,5,5,1,5
23,23,5,5,10,3
23,23,5,5,15,4
23,23,5,5,8,6
23,23,5,5,16,12
23,23,5,5,1,14
23,23,5,5,19,18
23,23,5,5,0,9
23,23,5,5,13,11
23,23,5,5,7,2
23,23,5,5,17,5
24,24,6,6,12,8
24,24,6,6,9,7
24,24,6,6,3,17
24,24,6,6,2,13
24,24,6,6,4,10
24,24,6,6,6,16
24,24,6,6,11,19
24,24,6,6,14,15
24,24,6,6,18,1
24,24,6,6,5,0
25,25,6,6,16,0
25,25,6,6,11,14
25,25,6,6,10,15
25,25,6,6,18,9
25,25,6,6,7,13
25,25,6,6,19,17
25,25,6,6,5,2
25,25,6,6,1,8
25,25,6,6,4,6
25,25,6,6,12,3
26,26,6,6,15,16
26,26,6,6,14,5
26,26,6,6,9,4
26,26,6,6,8,10
26,26,6,6,17,18
26,26,6,6,13,19
26,26,6,6,0,1
26,26,6,6,3,11
27,27,6,6,18,14
27,27,6,6,8,13
27,26,6,6,4,7
27,27,6,6,10,5
27,27,6,6,16,19
27,27,6,6,15,3
27,26,6,6,9,2
27,27,6,6,1,11
26,26,6,6,6,12
27,27,6,6,0,17
28,28,7,7,3,1
28,28,7,7,5,9
28,28,7,7,11,10
27,28,6,7,2,18
27,28,6,7,12,4
28,28,7,7,14,16
27,28,6,7,7,15
28,28,7,7,17,8
28,27,7,6,19,6
28,28,7,7,13,0
29,28,7,7,10,12
29,29,7,7,18,11
29,29,7,7,9,14
29,29,7,7,4,3
29,28,7,7,8,2
28,29,7,7,7,1
29,30,7,7,19,8
29,30,7,7,17,9
29,29,7,7,5,15
29,30,7,7,13,10
30,30,7,7,11,4
30,28,7,7,14,6
29,29,7,7,2,16
30,30,7,7,3,18
29,29,7,7,12,0
31,30,7,7,4,5
30,30,7,7,16,13
30,30,7,7,1,17
31,31,7,7,9,11
31,30,7,7,18,12
31,30,7,7,10,2
30,30,7,7,15,19
29,31,7,7,6,3
31,31,7,7,8,14
30,29,7,7,0,7
31,31,7,7,15,1
31,30,7,7,17,7
32,32,8,8,4,18
31,32,7,8,19,10
32,31,8,7,11,5
32,31,8,7,14,2
31,31,7,7,12,13
31,32,7,8,16,8
30,32,7,8,6,9
32,31,8,7,3,0
32,31,8,7,19,7
33,32,8,8,10,16
32,33,8,8,0,4
32,33,8,8,7,14
32,32,8,8,13,17
32,33,8,8,2,11
32,32,8,8,5,12
33,32,8,8,8,15
33,31,8,7,18,6
32,33,8,8,1,19
33,33,8,8,9,3
33,33,8,8,2,12
33,33,8,8,15,17
33,34,8,8,0,19
32,33,8,8,6,7
33,33,8,8,1,13
34,34,8,8,12,9
33,34,8,8,6,2
34,34,8,8,4,14
34,33,8,8,18,5
33,34,8,8,16,1
34,34,8,8,8,11
34,34,8,8,3,13
35,35,8,8,2,19
35,34,8,8,9,16
34,35,8,8,7,18
35,34,8,8,13,15
34,35,8,8,17,4
35,34,8,8,1,10
35,34,8,8,11,6
34,35,8,8,0,8
35,35,8,8,14,12
34,35,8,8,5,3
35,35,8,8,10,0
36,36,9,9,18,13
36,36,9,9,4,2
36,36,9,9,19,9
35,36,8,9,15,11
35,35,8,8,16,5
36,35,9,8,8,7
36,36,9,9,3,14
35,35,8,8,6,17
36,36,9,9,12,1
36,36,9,9,15,0
36,36,9,9,16,7
36,36,9,9,10,17
36,36,9,9,6,5
37,37,9,9,17,16
37,37,9,9,14,19
37,37,9,9,2,3
37,37,9,9,11,12
37,37,9,9,5,8
37,37,9,9,7,10
37,37,9,9,9,15
37,37,9,9,13,6
37,37,9,9,1,4
37,37,9,9,0,18
